Country Name,Country Code,Indicator Name,Indicator Code,1970,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Europe & Central Asia,ECS,"Government expenditure on education, total (% of GDP)",EDSPENDPCGDP,,,,,,,,,,,,,,,,,,,,5.100749969,4.953065157,4.596094847,4.494450092,,4.45031023,4.383719921,4.166140079,4.650090218,4.438934803,4.673229933,4.738790035,4.873839855,4.820549965,4.672060013,4.880650043,5.057749987,5.220039845,4.969860077,4.811810017,5.024950027,5.124000072,4.885540009,4.821000099,4.783239841,,,
Ecuador,ECU,"Government expenditure on education, total (% of GDP)",EDSPENDPCGDP,2.002830029,,,2.418839931,,,,,,,4.203420162,5.2333498,6.87237978,,,,,,,,,1.997640014,,,2.195369959,1.547340035,1.150930047,,,,,,,,,4.342420101,4.507430077,4.726890087,4.643070221,5.004640102,5.260990143,4.998700142,,,,,
"Egypt, Arab Rep.",EGY,"Government expenditure on education, total (% of GDP)",EDSPENDPCGDP,,4.892429829,4.943429947,4.549580097,4.941120148,,4.280320168,,5.608300209,5.221489906,,,,,4.525219917,4.600059986,,,4.050670147,4.197700024,4.583759785,4.604000092,4.671569824,,,,,,,4.945630074,4.6707201,4.794429779,4.001780033,3.68460989,3.760829926,,,,,,,,,,,,
Euro area,EMU,"Government expenditure on education, total (% of GDP)",EDSPENDPCGDP,,4.730890036,4.358029842,,4.345119953,4.796909809,,5.100584984,5.084379911,4.853975058,4.821054935,,4.852290154,4.623439789,4.568745136,,4.554499865,4.776949883,5.072380066,5.10943985,4.896480083,4.689115047,4.796005011,,4.540569782,4.510849953,4.585120201,5.224609852,5.258719921,5.074510098,4.961864948,4.97356987,4.820549965,4.684490204,5.109519958,5.563149929,5.473380089,5.127089977,4.956580162,5.334609985,5.27489996,4.909530163,4.821000099,4.939249992,,,
Eritrea,ERI,"Government expenditure on education, total (% of GDP)",EDSPENDPCGDP,,,,,,,,,,,,,,,,,,,,,,,1.638550043,,4.620580196,5.26281023,,4.047160149,3.523900032,,3.148969889,,2.127000093,,,,,,,,,,,,,,
Spain,ESP,"Government expenditure on education, total (% of GDP)",EDSPENDPCGDP,1.833009958,,1.899389982,2.077169895,2.230730057,2.338049889,,,,,,,,3.128180027,3.328299999,3.551779985,3.633589983,3.742350101,3.83716011,4.244890213,4.484680176,4.434629917,4.457459927,,4.287859917,4.260439873,4.166049957,4.111269951,4.134570122,4.173429966,4.157859802,4.144320011,4.184820175,4.254049778,4.528059959,4.912000179,4.856080055,4.896920204,4.469339848,4.351019859,4.303380013,4.286570072,4.227640152,4.20773983,,,
Estonia,EST,"Government expenditure on education, total (% of GDP)",EDSPENDPCGDP,,,,,,,,,,,,,,,,,,,,5.706910133,5.502669811,5.905409813,6.062329769,6.346139908,6.244349957,6.646560192,5.332429886,5.224609852,5.431310177,5.271170139,4.877349854,4.813159943,,4.620639801,5.477379799,5.926519871,5.473380089,4.969920158,4.682690144,4.812670231,5.367080212,5.106850147,5.170539856,4.973380089,,,
Ethiopia,ETH,"Government expenditure on education, total (% of GDP)",EDSPENDPCGDP,,,,,,,,,2.112349987,2.302059889,2.112030029,2.337569952,2.137949944,,,,,,,2.3542099,,,2.774620056,2.757940054,,,3.983109951,3.700289965,3.632450104,,,,5.490960121,5.451129913,5.408199787,4.422070026,4.496590137,5.485760212,5.56678009,4.498549938,4.602019787,4.737919807,,,,,
European Union,EUU,"Government expenditure on education, total (% of GDP)",EDSPENDPCGDP,,,,,,,,,,,,,,,,,,4.972259998,5.145120144,5.10943985,4.900255203,4.689115047,4.748290062,,4.540569782,4.583669901,4.868400097,5.077809811,5.179230213,5.074510098,4.961864948,5.073949814,4.864109993,4.684490204,5.029049873,5.554969788,5.312739849,4.969920158,4.880609989,4.961110115,5.124000072,4.897535086,4.801780224,4.725169897,,,
Fragile and conflict affected situations,FCS,"Government expenditure on education, total (% of GDP)",EDSPENDPCGDP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.744709969,,,3.259230018,,,,3.787309885,,,
